symbol,name,asset_type,market,category,risk_group,liquidity_class,systemic_role,narrative_role,bubble_history,narrative_exposure,data_priority,start_date,shock_history
SPY,SPDR S&P 500 ETF,etf,US,ETF,high_beta,ultra,benchmark,leader,[],[],1,1999-01,"[""gfc-2008"", ""covid-crash""]"
QQQ,Invesco QQQ Trust,etf,US,ETF,high_beta,ultra,benchmark,leader,"[""dot-com""]","[""ai-cycle""]",1,1999-03,"[""covid-crash""]"
IWM,Russell 2000 ETF,etf,US,ETF,high_beta,ultra,stress_proxy,follower,[],[],1,2000-06,"[""gfc-2008"", ""covid-crash""]"
DIA,Dow Jones ETF,etf,US,ETF,mid_beta,ultra,benchmark,laggard,[],[],2,1998-01,"[""gfc-2008"", ""covid-crash""]"
AAPL,Apple Inc.,equity,US,Big Tech & Internet,high_beta,ultra,single_name,leader,[],"[""ai-cycle""]",1,1999-12,"[""covid-crash""]"
MSFT,Microsoft Corporation,equity,US,Big Tech & Internet,mid_beta,ultra,single_name,quality_growth,"[""dot-com""]","[""ai-cycle""]",1,1999-12,"[""covid-crash""]"
AMZN,Amazon.com Inc.,equity,US,Big Tech & Internet,high_beta,ultra,single_name,leader,[],"[""ai-cycle""]",1,1999-12,"[""covid-crash""]"
GOOGL,Alphabet Inc. A,equity,US,Big Tech & Internet,high_beta,ultra,single_name,follower,[],"[""ai-cycle""]",1,2004-09,"[""covid-crash""]"
META,Meta Platforms Inc.,equity,US,Big Tech & Internet,high_beta,high,single_name,follower,[],"[""social-bubble"",""ai-cycle""]",1,2012-06,"[""covid-crash""]"
NFLX,Netflix Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],[],2,2002-06,"[""covid-crash""]"
NVDA,NVIDIA Corporation,equity,US,Big Tech & Internet,high_beta,high,single_name,leader,[],"[""ai-cycle""]",1,1999-12,"[""covid-crash""]"
AMD,Advanced Micro Devices,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""ai-cycle""]",2,1999-12,[]
INTC,Intel Corporation,equity,US,Big Tech & Internet,mid_beta,ultra,single_name,laggard,"[""dot-com""]",[],2,1999-12,"[""gfc-2008""]"
CSCO,Cisco Systems Inc.,equity,US,Big Tech & Internet,mid_beta,ultra,single_name,leader,"[""dot-com""]",[],2,1999-12,[]
ORCL,Oracle Corporation,equity,US,Big Tech & Internet,mid_beta,ultra,single_name,laggard,"[""dot-com""]",[],3,1999-12,"[""gfc-2008""]"
IBM,International Business Machines,equity,US,Big Tech & Internet,low_beta,ultra,single_name,laggard,"[""dot-com""]",[],3,1999-12,"[""gfc-2008""]"
JPM,JPMorgan Chase & Co.,equity,US,Finance,high_beta,ultra,stress_proxy,leader,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
BAC,Bank of America,equity,US,Finance,high_beta,ultra,stress_proxy,follower,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
C,Citigroup Inc.,equity,US,Finance,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""gfc-2008""]"
WFC,Wells Fargo,equity,US,Finance,mid_beta,ultra,stress_proxy,laggard,[],[],2,1999-12,"[""gfc-2008""]"
GS,Goldman Sachs Group,equity,US,Finance,high_beta,high,single_name,leader,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
MS,Morgan Stanley,equity,US,Finance,high_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
SCHW,Charles Schwab,equity,US,Finance,high_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
BLK,BlackRock Inc.,equity,US,Finance,mid_beta,high,single_name,asset_manager,[],[],2,1999-12,"[""covid-crash""]"
XLF,Financials Sector ETF,etf,US,ETF,high_beta,ultra,sector_proxy,leader,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
XLK,Tech Sector ETF,etf,US,ETF,high_beta,ultra,sector_proxy,leader,[],"[""ai-cycle""]",1,1999-12,"[""covid-crash""]"
XLE,Energy Sector ETF,etf,US,ETF,mid_beta,high,sector_proxy,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
XLI,Industrials Sector ETF,etf,US,ETF,mid_beta,ultra,sector_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
XLV,Health Care ETF,etf,US,ETF,low_beta,ultra,sector_proxy,defensive,[],[],3,1999-12,[]
XLU,Utilities ETF,etf,US,ETF,low_beta,ultra,sector_proxy,defensive,[],[],3,1999-12,[]
GE,General Electric,equity,US,Industrials,mid_beta,high,single_name,laggard,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
HON,Honeywell,equity,US,Industrials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
CAT,Caterpillar Inc.,equity,US,Industrials,mid_beta,high,single_name,leader,[],[],2,1999-12,"[""gfc-2008""]"
BA,Boeing,equity,US,Industrials,high_beta,high,single_name,leader,[],[],1,1999-12,"[""covid-crash""]"
MMM,3M Company,equity,US,Industrials,low_beta,high,single_name,defensive,[],[],3,1999-12,"[""gfc-2008""]"
DE,Deere & Company,equity,US,Industrials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
UNP,Union Pacific,equity,US,Industrials,mid_beta,high,stress_proxy,laggard,[],[],2,1999-12,"[""covid-crash""]"
UPS,United Parcel Service,equity,US,Industrials,mid_beta,high,stress_proxy,follower,[],[],2,1999-12,"[""covid-crash""]"
FDX,FedEx,equity,US,Industrials,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""covid-crash""]"
CSX,CSX Corp.,equity,US,Industrials,mid_beta,high,stress_proxy,laggard,[],[],2,1999-12,"[""covid-crash""]"
NSC,Norfolk Southern,equity,US,Industrials,mid_beta,high,stress_proxy,laggard,[],[],2,1999-12,"[""covid-crash""]"
TSLA,Tesla Inc.,equity,US,Industrials,high_beta,high,single_name,leader,[],"[""ai-cycle""]",1,2010-07,"[""covid-crash""]"
GM,General Motors,equity,US,Industrials,high_beta,high,single_name,follower,[],[],1,2010-12,"[""covid-crash""]"
F,Ford Motor Company,equity,US,Industrials,mid_beta,high,single_name,laggard,[],[],2,1999-12,"[""gfc-2008""]"
LMT,Lockheed Martin,equity,US,Industrials,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
NOC,Northrop Grumman,equity,US,Industrials,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
RTX,RTX Corporation,equity,US,Industrials,mid_beta,high,single_name,defensive,[],[],2,1999-12,"[""covid-crash""]"
HD,Home Depot,equity,US,Consumer Discretionary,mid_beta,ultra,single_name,follower,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
LOW,Lowe's Companies,equity,US,Consumer Discretionary,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
MCD,McDonald's,equity,US,Consumer Discretionary,low_beta,ultra,single_name,defensive,[],[],3,1999-12,[]
NKE,Nike Inc.,equity,US,Consumer Discretionary,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
SBUX,Starbucks Corp.,equity,US,Consumer Discretionary,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
LULU,Lululemon Athletica,equity,US,Consumer Discretionary,high_beta,medium,single_name,follower,[],[],2,2007-08,"[""covid-crash""]"
TJX,TJX Companies,equity,US,Consumer Discretionary,mid_beta,high,single_name,defensive,[],[],2,1999-12,"[""gfc-2008""]"
TGT,Target Corp.,equity,US,Consumer Discretionary,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
BBY,Best Buy,equity,US,Consumer Discretionary,high_beta,high,single_name,leader,[],[],1,1999-12,"[""gfc-2008"", ""covid-crash""]"
RCL,Royal Caribbean,equity,US,Consumer Discretionary,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""covid-crash""]"
CCL,Carnival Corp.,equity,US,Consumer Discretionary,high_beta,high,stress_proxy,leader,[],[],1,1999-12,"[""covid-crash""]"
NCLH,Norwegian Cruise,equity,US,Consumer Discretionary,high_beta,medium,stress_proxy,follower,[],[],2,2013-02,"[""covid-crash""]"
MAR,Marriott International,equity,US,Consumer Discretionary,high_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
HLT,Hilton Worldwide,equity,US,Consumer Discretionary,high_beta,high,single_name,follower,[],[],2,2014-01,"[""covid-crash""]"
EXPE,Expedia Group,equity,US,Consumer Discretionary,high_beta,high,single_name,leader,[],[],1,2005-08,"[""covid-crash""]"
XLY,Consumer Discretionary ETF,etf,US,ETF,mid_beta,ultra,sector_proxy,follower,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
XOM,Exxon Mobil,equity,US,Energy,mid_beta,ultra,single_name,laggard,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
CVX,Chevron,equity,US,Energy,mid_beta,ultra,single_name,laggard,[],[],2,1999-12,"[""gfc-2008"", ""covid-crash""]"
COP,ConocoPhillips,equity,US,Energy,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
SLB,Schlumberger,equity,US,Energy,high_beta,high,single_name,leader,[],[],1,1999-12,"[""gfc-2008""]"
HAL,Halliburton,equity,US,Energy,high_beta,high,single_name,leader,[],[],1,1999-12,"[""gfc-2008""]"
OXY,Occidental Petroleum,equity,US,Energy,high_beta,medium,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
EOG,EOG Resources,equity,US,Energy,mid_beta,medium,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
JNJ,Johnson & Johnson,equity,US,Healthcare,low_beta,ultra,single_name,defensive,[],[],3,1999-12,[]
PFE,Pfizer,equity,US,Healthcare,low_beta,high,single_name,defensive,[],[],3,1999-12,"[""covid-crash""]"
MRK,Merck & Co.,equity,US,Healthcare,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
ABBV,AbbVie,equity,US,Healthcare,low_beta,high,single_name,defensive,[],[],3,2013-02,[]
LLY,Eli Lilly,equity,US,Healthcare,low_beta,high,single_name,leader,[],[],2,1999-12,[]
UNH,UnitedHealth Group,equity,US,Healthcare,low_beta,ultra,single_name,defensive,[],[],2,1999-12,[]
TMO,Thermo Fisher,equity,US,Healthcare,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
CVS,CVS Health,equity,US,Healthcare,mid_beta,high,single_name,defensive,[],[],3,1999-12,[]
PG,Procter & Gamble,equity,US,Consumer Staples,low_beta,ultra,single_name,defensive,[],[],3,1999-12,[]
KO,Coca-Cola,equity,US,Consumer Staples,low_beta,ultra,single_name,defensive,[],[],3,1999-12,[]
PEP,PepsiCo,equity,US,Consumer Staples,low_beta,ultra,single_name,defensive,[],[],3,1999-12,[]
WMT,Walmart,equity,US,Consumer Staples,low_beta,ultra,stress_proxy,defensive,[],[],2,1999-12,"[""covid-crash""]"
COST,Costco,equity,US,Consumer Staples,low_beta,ultra,single_name,defensive,[],[],2,1999-12,"[""covid-crash""]"
XLP,Consumer Staples ETF,etf,US,ETF,low_beta,ultra,sector_proxy,defensive,[],[],3,1999-12,[]
SO,Southern Company,equity,US,Utilities,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
DUK,Duke Energy,equity,US,Utilities,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
NEE,NextEra Energy,equity,US,Utilities,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""covid-crash""]"
AEP,American Electric Power,equity,US,Utilities,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
LIN,Linde plc,equity,US,Materials,low_beta,high,single_name,defensive,[],[],2,2018-11,"[""covid-crash""]"
APD,Air Products,equity,US,Materials,low_beta,high,single_name,defensive,[],[],3,1999-12,[]
SHW,Sherwin-Williams,equity,US,Materials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
MLM,Martin Marietta Materials,equity,US,Materials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
VMC,Vulcan Materials,equity,US,Materials,mid_beta,high,single_name,follower,[],[],2,1999-12,"[""gfc-2008""]"
XLB,Materials ETF,etf,US,ETF,mid_beta,ultra,sector_proxy,follower,[],[],2,1999-12,"[""gfc-2008""]"
NEM,Newmont Corporation,equity,US,Commodities,low_beta,high,stress_proxy,defensive,[],[],2,1999-12,"[""gfc-2008""]"
GOLD,Barrick Gold,equity,US,Commodities,low_beta,high,single_name,defensive,[],[],3,2002-08,[]
GDX,Gold Miners ETF,etf,US,ETF,mid_beta,ultra,sector_proxy,follower,[],[],2,2006-06,"[""gfc-2008""]"
CRM,Salesforce Inc.,equity,US,Big Tech & Internet,high_beta,high,single_name,follower,[],"[""cloud""]",1,2004-07,"[""covid-crash""]"
ADBE,Adobe Inc.,equity,US,Big Tech & Internet,mid_beta,ultra,single_name,quality_growth,[],"[""cloud""]",2,1999-12,"[""covid-crash""]"
NOW,ServiceNow Inc.,equity,US,Big Tech & Internet,high_beta,high,single_name,leader,[],"[""cloud""]",1,2012-07,"[""covid-crash""]"
TEAM,Atlassian Corp.,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""cloud""]",2,2016-01,"[""covid-crash""]"
SNOW,Snowflake Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],"[""ai-cycle"",""cloud""]",1,2020-10,[]
MDB,MongoDB Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""cloud""]",2,2017-11,"[""covid-crash""]"
DDOG,Datadog Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],"[""cloud""]",1,2019-10,"[""covid-crash""]"
NET,Cloudflare Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],"[""ai-cycle"",""cloud""]",1,2019-10,"[""covid-crash""]"
DOCU,DocuSign,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""cloud""]",2,2018-05,"[""covid-crash""]"
OKTA,Okta Inc.,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""cloud"",""cybersecurity""]",2,2017-05,"[""covid-crash""]"
ZS,Zscaler,equity,US,Big Tech & Internet,high_beta,medium,single_name,follower,[],"[""cybersecurity""]",2,2018-04,"[""covid-crash""]"
PANW,Palo Alto Networks,equity,US,Big Tech & Internet,high_beta,high,single_name,leader,[],"[""cybersecurity""]",1,2012-08,"[""covid-crash""]"
CRWD,CrowdStrike,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],"[""cybersecurity""]",1,2019-07,"[""covid-crash""]"
PLTR,Palantir Technologies,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],"[""ai-cycle""]",1,2020-10,[]
U,Unity Software,equity,US,Big Tech & Internet,high_beta,medium,single_name,leader,[],"[""ai-cycle""]",1,2020-10,[]
